symbol,slice_label,run_id,event_type,context_cell,survived,best_template,best_direction,best_horizon,rank_score,fold_valid_count,n_events,mean_after_cost_expectancy_bps_valid_folds,median_after_cost_expectancy_bps_valid_folds,worst_after_cost_expectancy_bps_valid_fold,t_stat,best_rejection_reason,uplift_bps_vs_unconditional,uplift_rank_score_vs_unconditional,uplift_fold_valid_count_vs_unconditional
ETHUSDT,full_2024,CTXUPLIFT_ETHUSDT_2024_FULL,FUNDING_PERSISTENCE_TRIGGER,unconditional,False,continuation,long,12b,,,,,,,,rejected_no_contrast,,,
ETHUSDT,full_2024,CTXUPLIFT_ETHUSDT_2024_FULL,FUNDING_PERSISTENCE_TRIGGER,negative_funding,False,continuation,long,48b,,,,,,,,rejected_no_contrast,20.55597115146005,0.0,-2.0
ETHUSDT,full_2024,CTXUPLIFT_ETHUSDT_2024_FULL,VOL_SHOCK,unconditional,False,continuation,long,24b,,,,,,,,rejected_no_contrast,,,
ETHUSDT,full_2024,CTXUPLIFT_ETHUSDT_2024_FULL,VOL_SHOCK,wide_spread,False,continuation,long,24b,,,,,,,,rejected_no_contrast,0.0,0.0,0.0
ETHUSDT,full_2024,CTXUPLIFT_ETHUSDT_2024_FULL,FUNDING_EXTREME_ONSET,unconditional,False,continuation,long,12b,,,,,,,,rejected_no_contrast,,,
ETHUSDT,full_2024,CTXUPLIFT_ETHUSDT_2024_FULL,FUNDING_EXTREME_ONSET,positive_funding,False,continuation,long,24b,,,,,,,,blocked_missing_forward_window,,0.0,-2.0
ETHUSDT,full_2024,CTXUPLIFT_ETHUSDT_2024_FULL,FUNDING_EXTREME_ONSET,low_vol,False,continuation,long,48b,,,,,,,,blocked_missing_forward_window,,0.0,-2.0
ETHUSDT,full_2024,CTXUPLIFT_ETHUSDT_2024_FULL,FUNDING_EXTREME_ONSET,wide_spread,False,continuation,long,24b,,,,,,,,blocked_missing_forward_window,,0.0,-2.0
ETHUSDT,full_2024,CTXUPLIFT_ETHUSDT_2024_FULL,FUNDING_EXTREME_ONSET,negative_funding,False,continuation,short,24b,,,,,,,,blocked_missing_forward_window,,0.0,-2.0
ETHUSDT,full_2024,CTXUPLIFT_ETHUSDT_2024_FULL,FUNDING_EXTREME_ONSET,bullish_trend,False,continuation,long,24b,,,,,,,,blocked_missing_forward_window,,0.0,-2.0
ETHUSDT,full_2024,CTXUPLIFT_ETHUSDT_2024_FULL,VOL_SHOCK,bullish_trend,False,continuation,short,12b,,,,,,,,blocked_missing_forward_window,,0.0,-2.0
ETHUSDT,full_2024,CTXUPLIFT_ETHUSDT_2024_FULL,FUNDING_EXTREME_ONSET,high_vol,False,continuation,long,24b,,,,,,,,blocked_missing_forward_window,,0.0,-2.0
ETHUSDT,full_2024,CTXUPLIFT_ETHUSDT_2024_FULL,FUNDING_EXTREME_ONSET,bearish_trend,False,continuation,long,48b,,,,,,,,blocked_missing_forward_window,,0.0,-2.0
ETHUSDT,h1_2024,CTXUPLIFT_ETHUSDT_2024_H1,VOL_SHOCK,high_vol,True,continuation,long,48b,0.6153108,2.0,256.0,52.60701000284463,52.60701000284463,1.9907298538324198,0.6059,,-42.07423130798382,0.6153108,0.0
